City,Climate
Adelaide,Warm temperate   
Albany,Mild temperate   
Albury,"Hot dry summer, cool winter"
Wodonga,"Hot dry summer, cool winter"
AliceSprings,"Hot dry summer, warm winter"
Amata,"Hot dry summer, cool winter"
Ballarat,Cool temperate   
Bathurst,Cool temperate   
Birdsville,"Hot dry summer, warm winter"
Borroloola,"High humidity summer, warm winter"
Bourke,"Hot dry summer, cool winter"
Brisbane,"Warm humid summer, mild winter"
BrokenHill,"Hot dry summer, cool winter"
Broome,"High humidity summer, warm winter"
Bunbury,Warm temperate   
Burketown,"High humidity summer, warm winter"
Burra,Mild temperate   
Cairns,"High humidity summer, warm winter"
Canberra,Cool temperate   
Carnarvon,"Hot dry summer, warm winter"
Ceduna,Warm temperate   
Charleville,"Hot dry summer, warm winter"
CooberPedy,"Hot dry summer, cool winter"
Cooktown,"High humidity summer, warm winter"
CoffsHarbour,"Warm humid summer, mild winter"
Dampier,"High humidity summer, warm winter"
Darwin,"High humidity summer, warm winter"
Derby,"High humidity summer, warm winter"
Devonport,Cool temperate   
Dubbo,"Hot dry summer, cool winter"
Elliot,"Hot dry summer, warm winter"
Esperance,Warm temperate   
Eucla,Warm temperate   
Exmouth,"High humidity summer, warm winter"
GascoyneJunction,"Hot dry summer, warm winter"
Geraldton,Warm temperate   
Goondiwindi,"Hot dry summer, warm winter"
Griffith,"Hot dry summer, cool winter"
HallsCreek,"Hot dry summer, warm winter"
Hobart,Cool temperate   
Horsham,Mild temperate   
Innamincka,"Hot dry summer, cool winter"
Ivanhoe,"Hot dry summer, cool winter"
Kalgoorlie–Boulder,"Hot dry summer, cool winter"
Katherine,"High humidity summer, warm winter"
Kingscote,Mild temperate   
KingstonSE,Mild temperate   
Kulgera,"Hot dry summer, warm winter"
LakesEntrance,Mild temperate   
Launceston,Cool temperate   
LeighCreek,Warm temperate   
Longreach,"Hot dry summer, warm winter"
LordHoweIsland,Warm temperate   
Mackay,"Warm humid summer, mild winter"
MargaretRiver,Warm temperate   
Maryborough,"Warm humid summer, mild winter"
Melbourne,Mild temperate   
MelbourneAirport,Mild temperate   
Merredin,"Hot dry summer, cool winter"
Mildura,"Hot dry summer, cool winter"
MountGambier,Mild temperate   
MountIsa,"Hot dry summer, warm winter"
Newcastle,Warm temperate   
Newdegate,"Hot dry summer, cool winter"
Newman,"Hot dry summer, warm winter"
Nhulunbuy,"High humidity summer, warm winter"
Norseman,"Hot dry summer, cool winter"
Nullarbor,"Hot dry summer, cool winter"
Oenpelli,"High humidity summer, warm winter"
Oodnadatta,"Hot dry summer, cool winter"
Perth,Warm temperate   
PerthAirport,Warm temperate   
PortHedland,"High humidity summer, warm winter"
PortLincoln,Warm temperate   
PortMacquarie,Warm temperate   
Renmark,Warm temperate   
Rockhampton,"Warm humid summer, mild winter"
Shepparton,"Hot dry summer, cool winter"
Southport,Cool temperate   
Strahan,Cool temperate   
Swansea,Cool temperate   
Sydney,Warm temperate   
SydneyAirport,Warm temperate   
Tamworth,"Hot dry summer, cool winter"
Taroom,"Hot dry summer, warm winter"
Telfer,"Hot dry summer, warm winter"
TennantCreek,"Hot dry summer, warm winter"
Thargomindah,"Hot dry summer, warm winter"
Tibooburra,"Hot dry summer, cool winter"
TimberCreek,"High humidity summer, warm winter"
Townsville,"High humidity summer, warm winter"
Warburton,"Hot dry summer, cool winter"
Weipa,"High humidity summer, warm winter"
Whyalla,"Hot dry summer, cool winter"
Wiluna,"Hot dry summer, cool winter"
Wollongong,Warm temperate   
Wyndham,"High humidity summer, warm winter"
Yalgoo,"Hot dry summer, cool winter"
Yulara,"Hot dry summer, warm winter"
Uluru,"Hot dry summer, warm winter"
