,City,Latitude,Longitude,Latitudedir,Longitudedir
0,Canberra,35.2809°,149.1300°,"S,",E
1,Sydney,33.8688°,151.2093°,"S,",E
2,Perth,31.9505°,115.8605°,"S,",E
3,Darwin,12.4634°,130.8456°,"S,",E
4,Hobart,42.8821°,147.3272°,"S,",E
5,Brisbane,27.4698°,153.0251°,"S,",E
6,Adelaide,34.9285°,138.6007°,"S,",E
7,Bendigo,36.7570°,144.2794°,"S,",E
8,Townsville,19.2590°,146.8169°,"S,",E
9,AliceSprings,23.6980°,133.8807°,"S,",E
10,MountGambier,37.8284°,140.7804°,"S,",E
11,Launceston,41.4332°,147.1441°,"S,",E
12,Ballarat,37.5622°,143.8503°,"S,",E
13,Albany,35.0275°,117.8840°,"S,",E
14,Albury,36.0737°,146.9135°,"S,",E
15,PerthAirport,31.9440°,115.9680°,"S,",E
16,MelbourneAirport,37.6697°,144.8488°,"S,",E
17,Mildura,34.2080°,142.1246°,"S,",E
18,SydneyAirport,33.9399°,151.1753°,"S,",E
19,Nuriootpa,34.4666°,138.9917°,"S,",E
20,Sale,38.1026°,147.0730°,"S,",E
21,Watsonia,37.7080°,145.0830°,"S,",E
22,Tuggeranong,35.4244°,149.0888°,"S,",E
23,Portland,38.3609°,141.6041°,"S,",E
24,Woomera,31.1656°,136.8193°,"S,",E
25,Cairns,16.9186°,145.7781°,"S,",E
26,Cobar,31.4949°,145.8402°,"S,",E
27,Wollongong,34.4278°,150.8931°,"S,",E
28,GoldCoast,28.0167°,153.4000°,"S,",E
29,WaggaWagga,35.1082°,147.3598°,"S,",E
30,NorfolkIsland,29.0408°,167.9547°,"S,",E
31,Penrith,33.7500°,150.7000°,"S,",E
32,SalmonGums,32.9879°,121.6422°,"S,",E
33,Newcastle,32.9283°,151.7817°,"S,",E
34,CoffsHarbour,30.2986°,153.1094°,"S,",E
35,Witchcliffe,34.0082°,115.1155°,"S,",E
36,Richmond,37.8230°,144.9980°,"S,",E
37,Dartmoor,37.9144°,141.2730°,"S,",E
38,NorahHead,33.2833°,151.5667°,"S,",E
39,BadgerysCreek,33.8829°,150.7609°,"S,",E
40,MountGinini,35.5294°,148.7723°,"S,",E
41,Moree,29.4658°,149.8339°,"S,",E
42,Walpole,34.9551°,116.7696°,"S,",E
43,PearceRAAF,31.6666°,116.0257°,"S,",E
44,Williamtown,32.8150°,151.8428°,"S,",E
45,Melbourne,37.8136°,144.9631°,"S,",E
46,Nhil,36.3328°,141.6503°,"S,",E
47,Katherine,14.4521°,132.2715°,"S,",E
48,Uluru,25.3444°,131.0369°,"S,",E
