,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainTomorrow
0,2015-03-24,Adelaide,12.3,19.3,0.0,5.0,,S,39.0,S,SSE,13.0,19.0,59.0,47.0,1022.2,1021.4,,,15.1,17.7,No
1,2011-07-12,Adelaide,7.9,11.4,0.0,1.0,0.5,N,20.0,NNE,N,7.0,7.0,70.0,59.0,1028.7,1025.7,,,8.4,11.3,No
2,2010-02-08,Adelaide,24.0,38.1,0.0,23.4,13.0,SE,39.0,NNE,WSW,9.0,19.0,36.0,24.0,1018.0,1016.0,,,32.4,37.4,No
3,2016-09-19,Adelaide,6.7,16.4,0.4,,,N,31.0,N,N,15.0,15.0,65.0,40.0,1014.4,1010.0,,,11.2,15.9,No
4,2014-03-05,Adelaide,16.7,24.8,0.0,6.6,11.7,S,37.0,S,SSE,15.0,24.0,61.0,48.0,1019.3,1018.9,,,20.8,23.7,No
5,2010-11-25,Adelaide,17.3,25.3,11.4,1.4,4.5,W,20.0,NW,SW,6.0,6.0,84.0,57.0,1018.3,1017.3,,,19.3,22.4,No
6,2012-08-23,Adelaide,8.1,12.4,6.0,1.8,,WNW,74.0,NW,W,26.0,37.0,74.0,78.0,1002.6,1005.6,,,10.7,7.4,Yes
7,2010-10-07,Adelaide,6.3,16.2,0.0,4.8,11.1,SW,41.0,S,SW,9.0,22.0,43.0,40.0,1028.4,1027.7,,,12.5,15.4,No
8,2010-11-08,Adelaide,13.7,23.1,0.0,16.0,12.2,W,31.0,WNW,WNW,13.0,17.0,61.0,38.0,1016.0,1016.3,,,17.2,22.5,No
9,2011-10-12,Adelaide,7.7,19.9,0.0,3.4,11.4,W,30.0,E,WSW,13.0,15.0,56.0,43.0,1021.2,1018.1,,,14.1,19.4,No
10,2011-06-13,Adelaide,7.8,14.1,0.0,,2.2,SE,33.0,SE,SE,17.0,11.0,63.0,46.0,1030.0,1027.5,,,10.2,12.9,No
11,2011-06-03,Adelaide,13.6,17.0,0.0,4.4,0.0,WSW,28.0,NNE,W,7.0,11.0,57.0,88.0,1017.8,1015.5,,,14.8,15.7,Yes
12,2009-09-17,Adelaide,14.2,17.4,8.8,2.0,7.1,SW,41.0,SSW,SW,15.0,20.0,82.0,56.0,1014.9,1018.0,,,16.2,16.7,No
13,2009-11-30,Adelaide,13.1,22.4,0.6,13.6,10.4,SSE,37.0,SSE,SSE,17.0,15.0,66.0,43.0,1017.9,1016.8,,,16.1,20.9,No
14,2015-12-13,Adelaide,13.1,32.8,0.0,,,W,30.0,SW,W,2.0,11.0,45.0,42.0,1014.4,1011.8,,,20.6,32.4,No
15,2011-12-23,Adelaide,17.5,33.3,0.0,8.0,12.7,WSW,33.0,,SW,0.0,13.0,31.0,9.0,1012.5,1010.7,,,25.1,32.4,No
16,2015-10-04,Adelaide,15.4,29.7,0.0,,,WNW,20.0,,WNW,0.0,9.0,44.0,22.0,1024.0,1022.4,,,18.3,27.4,No
17,2010-07-05,Adelaide,2.4,14.1,0.0,3.4,8.0,ENE,19.0,ENE,WNW,9.0,11.0,67.0,43.0,1025.6,1022.4,,,9.5,13.8,No
18,2013-03-12,Adelaide,26.1,38.2,0.0,24.0,11.3,WSW,50.0,NNE,NW,13.0,30.0,25.0,18.0,1011.6,1008.0,,,31.6,37.2,No
19,2015-07-01,Adelaide,4.7,14.5,0.0,,,WSW,20.0,NE,WSW,6.0,13.0,78.0,48.0,1030.6,1027.6,,,8.8,13.1,No
20,2014-05-04,Adelaide,5.9,16.8,0.0,,,W,26.0,NE,WSW,7.0,11.0,62.0,52.0,1017.9,1016.7,,,11.6,16.0,No
21,2012-06-10,Adelaide,2.6,14.7,0.0,,,SE,22.0,N,SSW,4.0,9.0,71.0,47.0,1029.2,1025.6,,,7.0,13.7,No
22,2014-10-26,Adelaide,14.2,28.7,0.0,,,SW,37.0,NE,NE,9.0,7.0,67.0,52.0,1012.8,1008.7,,,18.3,24.8,Yes
23,2014-11-22,Adelaide,18.2,24.4,1.6,,,NNE,43.0,,SW,0.0,11.0,89.0,83.0,1010.2,1006.9,,,19.3,22.3,Yes
24,2011-07-06,Adelaide,10.2,14.9,1.0,1.2,2.2,NW,57.0,NW,WNW,22.0,22.0,89.0,84.0,1013.0,1010.0,,,11.1,12.3,Yes
25,2012-05-02,Adelaide,9.4,16.5,12.4,0.8,,SSE,39.0,S,S,9.0,15.0,53.0,47.0,1029.6,1028.5,,,13.5,14.6,No
26,2009-01-08,Adelaide,14.3,23.8,0.0,7.4,12.7,SE,37.0,SE,SSE,17.0,22.0,45.0,30.0,1019.9,1019.2,,,17.6,23.2,No
27,2011-12-19,Adelaide,16.5,25.0,5.4,12.6,10.9,WSW,35.0,WSW,SSW,11.0,11.0,61.0,45.0,1012.1,1011.8,,,19.3,23.7,No
28,2015-08-24,Adelaide,9.2,14.3,0.0,,,SE,48.0,SE,SSE,17.0,19.0,64.0,42.0,1024.7,1024.1,,,9.9,13.4,No
29,2013-11-01,Adelaide,10.1,31.1,0.0,4.6,12.7,NNW,35.0,N,WNW,11.0,19.0,34.0,13.0,1020.9,1018.6,,,20.9,30.4,No
30,2008-07-14,Adelaide,10.0,15.4,3.8,7.0,0.5,N,48.0,W,W,15.0,19.0,85.0,72.0,1014.0,1015.4,,,13.2,15.2,Yes
31,2017-02-13,Adelaide,16.0,24.3,0.0,,,WSW,31.0,SSW,SSW,15.0,11.0,60.0,47.0,1019.2,1018.2,,,17.4,23.3,No
32,2012-08-17,Adelaide,7.8,13.2,17.6,0.8,,SW,61.0,SW,SW,20.0,28.0,76.0,47.0,1012.5,1014.7,,,8.3,12.5,Yes
33,2008-11-03,Adelaide,13.3,21.2,0.0,15.2,10.0,SSE,39.0,SSW,SE,15.0,20.0,50.0,39.0,1021.9,1020.1,,,14.8,19.9,No
34,2010-03-09,Adelaide,14.3,22.0,1.6,16.4,7.8,SW,39.0,S,SW,11.0,20.0,75.0,36.0,1021.2,1022.5,,,16.8,21.6,No
35,2016-02-13,Adelaide,16.8,29.3,0.0,,,SW,28.0,NNE,SW,7.0,13.0,62.0,39.0,1012.5,1012.0,,,21.7,26.4,No
36,2008-11-07,Adelaide,18.3,22.5,0.2,8.0,1.4,WNW,56.0,N,WNW,17.0,28.0,58.0,51.0,1001.0,1004.7,,,22.4,18.4,Yes
37,2010-05-16,Adelaide,7.0,20.7,0.0,,8.4,NNW,26.0,NNE,W,4.0,11.0,43.0,34.0,1017.7,1016.3,,,14.8,19.8,No
38,2016-08-31,Adelaide,11.9,16.8,1.0,,,SW,28.0,WNW,SW,11.0,13.0,80.0,79.0,1018.5,1017.7,,,14.3,15.2,No
39,2016-06-15,Adelaide,9.0,20.3,0.0,,,NNE,30.0,NNE,N,4.0,13.0,56.0,41.0,1029.9,1024.5,,,13.6,20.0,Yes
40,2011-11-14,Adelaide,14.5,25.1,0.0,17.0,12.3,NW,35.0,NW,WSW,11.0,17.0,66.0,48.0,1013.7,1014.0,,,19.3,24.3,No
41,2011-09-08,Adelaide,11.4,17.3,0.0,2.6,4.3,ESE,43.0,ESE,S,9.0,7.0,48.0,50.0,1022.5,1020.9,,,13.9,15.6,Yes
42,2016-06-10,Adelaide,12.3,16.2,2.4,,,NW,39.0,WNW,WNW,9.0,17.0,74.0,70.0,1021.7,1021.7,,,13.7,15.5,Yes
43,2017-04-21,Adelaide,18.2,22.6,4.8,,,WSW,20.0,SW,S,7.0,11.0,83.0,60.0,1022.5,1020.6,,,19.0,21.8,No
44,2010-08-18,Adelaide,10.3,19.8,4.8,2.8,5.5,NW,54.0,N,NW,9.0,20.0,78.0,50.0,1000.4,998.6,,,12.5,18.3,Yes
45,2014-07-26,Adelaide,10.3,16.2,3.0,,,NNW,22.0,N,NNW,7.0,15.0,99.0,59.0,1028.2,1026.1,,,10.4,15.7,No
46,2008-11-15,Adelaide,11.4,20.2,0.0,,12.3,SW,43.0,S,SW,9.0,22.0,49.0,37.0,1020.6,1020.1,,,16.1,20.2,No
47,2009-12-07,Adelaide,14.1,28.1,0.0,18.2,6.0,SSE,28.0,SSW,WNW,15.0,7.0,55.0,38.0,1014.7,1011.8,,,20.1,25.1,Yes
48,2011-06-30,Adelaide,14.7,19.9,0.0,2.4,0.9,NNE,31.0,NNE,NNE,15.0,11.0,53.0,49.0,1028.7,1025.8,,,16.9,18.7,No
49,2013-06-12,Adelaide,12.3,16.0,7.2,0.4,1.7,S,48.0,SSE,S,20.0,20.0,81.0,64.0,1009.8,1011.4,,,13.1,14.9,No
50,2010-05-11,Adelaide,12.3,16.4,0.0,3.4,9.6,SW,48.0,SW,SSW,22.0,20.0,43.0,39.0,1019.8,1021.0,,,14.4,15.6,No
51,2016-06-22,Adelaide,10.2,16.5,11.8,,,WNW,39.0,W,WNW,9.0,17.0,67.0,63.0,1010.3,1010.0,,,13.5,15.5,Yes
52,2017-02-09,Adelaide,25.8,41.0,0.0,,,N,20.0,SSW,W,4.0,7.0,43.0,30.0,1008.0,1007.2,,,33.1,38.5,No
53,2015-10-07,Adelaide,11.5,21.1,0.0,,,E,39.0,ESE,ESE,11.0,15.0,54.0,24.0,1035.3,1031.9,,,13.1,20.0,No
54,2013-01-03,Adelaide,20.8,40.6,0.0,9.8,13.8,W,37.0,NE,W,17.0,13.0,14.0,11.0,1013.6,1009.0,,,29.9,39.2,No
55,2011-01-03,Adelaide,13.6,26.2,0.0,22.4,13.7,ESE,43.0,NE,SE,9.0,13.0,44.0,27.0,1017.2,1014.8,,,18.0,24.9,No
56,2012-11-06,Adelaide,14.7,22.8,8.0,3.2,,NW,31.0,W,WSW,17.0,15.0,64.0,46.0,1011.9,1011.6,,,17.7,21.0,No
57,2015-09-25,Adelaide,10.6,20.0,0.0,,,E,37.0,ENE,E,9.0,11.0,40.0,32.0,1032.4,1028.2,,,16.1,19.6,No
58,2012-04-15,Adelaide,11.7,29.1,0.0,,10.6,WNW,26.0,NE,WSW,9.0,13.0,27.0,17.0,1021.6,1019.7,,,22.9,28.3,No
59,2013-10-21,Adelaide,20.0,25.3,0.0,21.0,0.4,ESE,59.0,SSW,E,2.0,19.0,51.0,52.0,1013.3,1009.8,,,22.3,24.1,No
60,2015-06-30,Adelaide,7.2,13.8,0.0,,,SW,17.0,ENE,SW,2.0,7.0,68.0,64.0,1031.3,1029.5,,,10.1,12.7,No
61,2012-02-22,Adelaide,15.1,30.0,0.0,5.6,12.1,SW,35.0,WSW,W,4.0,15.0,60.0,31.0,1016.4,1014.8,,,20.0,29.3,No
62,2016-12-07,Adelaide,12.7,31.3,0.0,,,WSW,39.0,NE,WNW,11.0,17.0,45.0,40.0,1014.2,1008.4,,,21.2,28.0,Yes
63,2015-12-05,Adelaide,20.7,40.2,0.0,,,SE,31.0,NE,WSW,9.0,13.0,18.0,13.0,1015.3,1012.1,,,33.4,38.6,No
64,2008-10-27,Adelaide,13.6,20.1,2.8,20.0,5.5,W,35.0,SW,SSW,13.0,13.0,83.0,46.0,1016.7,1017.9,,,14.6,18.5,No
65,2014-12-14,Adelaide,19.7,28.6,0.4,,,WSW,31.0,W,WSW,6.0,17.0,61.0,39.0,1010.1,1009.5,,,24.4,27.0,No
66,2008-11-21,Adelaide,12.7,19.9,0.0,6.2,4.3,SW,54.0,WSW,SW,13.0,31.0,50.0,60.0,1005.2,1003.5,,,16.6,16.9,Yes
67,2013-07-20,Adelaide,5.7,11.9,11.6,,,SW,65.0,SSE,SW,22.0,20.0,67.0,70.0,1012.5,1012.7,,,8.3,8.7,Yes
68,2014-02-03,Adelaide,23.6,28.3,0.0,34.0,9.0,SE,59.0,SE,SSE,22.0,31.0,57.0,54.0,1010.0,1014.2,,,23.8,23.5,No
69,2012-09-24,Adelaide,7.5,16.3,1.0,13.0,,WSW,31.0,S,W,11.0,17.0,56.0,43.0,1022.4,1020.5,,,12.4,15.6,No
70,2014-03-11,Adelaide,22.3,32.2,0.4,20.6,3.2,W,65.0,ESE,NE,9.0,9.0,53.0,78.0,1017.0,1017.2,,,25.6,22.8,Yes
71,2012-11-19,Adelaide,10.5,30.9,0.0,13.6,,E,41.0,NE,NW,17.0,11.0,34.0,13.0,1018.0,1015.5,,,20.8,29.9,No
72,2013-12-26,Adelaide,17.2,29.0,0.0,,12.5,SW,30.0,ENE,SSW,7.0,17.0,54.0,22.0,1013.8,1012.5,,,22.0,27.7,No
73,2012-09-03,Adelaide,7.7,22.9,0.0,7.0,,SE,56.0,N,NNW,13.0,17.0,27.0,22.0,1021.1,1018.2,,,17.5,22.1,No
74,2013-05-16,Adelaide,10.7,17.5,7.0,1.4,7.1,SW,35.0,NE,SW,6.0,19.0,88.0,54.0,1016.3,1015.9,,,13.1,16.9,No
75,2009-08-06,Adelaide,9.0,23.0,0.0,2.4,8.7,NNW,67.0,N,NNW,24.0,37.0,40.0,24.0,1012.4,1008.1,,,15.9,22.6,Yes
76,2009-05-31,Adelaide,10.2,18.3,0.0,2.2,4.2,E,33.0,ENE,NNE,13.0,9.0,52.0,54.0,1028.2,1025.4,,,13.9,16.1,No
77,2010-12-08,Adelaide,16.8,24.4,66.2,,7.6,NNE,41.0,WSW,WNW,17.0,20.0,84.0,53.0,1005.0,1006.3,,,17.7,23.2,No
78,2014-08-30,Adelaide,8.5,25.0,0.0,,,NW,37.0,NNW,NW,9.0,15.0,44.0,23.0,1023.8,1019.8,,,18.5,23.9,No
79,2015-10-01,Adelaide,7.8,24.4,0.0,,,WSW,22.0,N,WSW,9.0,15.0,35.0,23.0,1028.4,1028.6,,,19.1,23.8,No
80,2015-02-23,Adelaide,20.6,26.5,0.0,16.2,,SSE,48.0,S,SSE,20.0,22.0,61.0,43.0,1015.3,1016.5,,,22.2,25.7,No
81,2012-09-18,Adelaide,5.6,18.0,0.0,1.2,,SW,30.0,WNW,WSW,7.0,19.0,67.0,62.0,1017.8,1015.9,,,13.5,16.1,No
82,2011-12-18,Adelaide,18.7,20.7,8.6,,0.9,WNW,41.0,NW,WNW,15.0,13.0,74.0,92.0,1004.7,1005.1,,,19.9,18.8,Yes
83,2014-07-10,Adelaide,6.8,14.4,14.4,1.0,,WSW,50.0,S,W,4.0,19.0,91.0,75.0,1017.0,1018.3,,,10.1,12.2,No
84,2011-12-08,Adelaide,18.1,31.4,0.0,8.2,0.0,NW,44.0,ENE,E,2.0,4.0,40.0,21.0,1006.8,1004.5,,,23.0,30.5,Yes
85,2016-06-13,Adelaide,3.6,14.7,0.0,,,NNE,30.0,NE,NNE,9.0,9.0,58.0,40.0,1034.2,1030.6,,,8.6,13.7,No
86,2013-03-16,Adelaide,17.4,23.8,,,9.7,SSE,46.0,S,S,9.0,19.0,63.0,57.0,1019.9,1020.5,,,19.1,20.7,No
87,2017-01-09,Adelaide,20.2,30.4,0.0,,,SW,24.0,ESE,WNW,6.0,9.0,70.0,38.0,1012.7,1011.3,,,20.9,28.9,No
88,2012-06-29,Adelaide,8.9,14.5,6.4,1.6,,W,61.0,W,WSW,6.0,19.0,87.0,84.0,1008.3,1008.7,,,9.9,11.4,Yes
89,2014-07-09,Adelaide,8.0,10.9,13.2,1.6,,WSW,74.0,SSW,SW,20.0,13.0,93.0,88.0,999.5,1004.9,,,8.6,9.3,Yes
90,2010-08-10,Adelaide,6.6,16.1,0.6,1.0,9.8,SSE,44.0,S,S,11.0,20.0,61.0,40.0,1014.1,1013.1,,,10.9,15.4,Yes
